city,state,natural_hs,natural_college,foreign_hs,foreign_college
Edmond,Oklahoma,0.97,0.52,0.88,0.62
Lawton,Oklahoma,0.89,0.19,0.77,0.26
Norman,Oklahoma,0.94,0.42,0.84,0.67
Tulsa,Oklahoma,0.91,0.32,0.57,0.31
Beaverton,Oregon,0.95,0.44,0.79,0.53
Bend,Oregon,0.96,0.39,0.75,0.43
Eugene,Oregon,0.95,0.4,0.76,0.51
Gresham,Oregon,0.91,0.2,0.59,0.21
Hillsboro,Oregon,0.94,0.34,0.65,0.48
Medford,Oregon,0.91,0.25,0.51,0.29
Salem,Oregon,0.92,0.29,0.54,0.25
Allentown,Pennsylvania,0.85,0.18,0.66,0.25
Bethlehem,Pennsylvania,0.9,0.27,0.75,0.46
Erie,Pennsylvania,0.89,0.22,0.65,0.32
Pittsburgh,Pennsylvania,0.91,0.35,0.89,0.72
Reading,Pennsylvania,0.78,0.09,0.44,0.19
Scranton,Pennsylvania,0.88,0.21,0.72,0.37
Cranston,Rhode Island,0.9,0.31,0.74,0.31
Providence,Rhode Island,0.85,0.4,0.59,0.28
Warwick,Rhode Island,0.91,0.3,0.81,0.39
Charleston,South Carolina,0.93,0.49,0.92,0.61
Columbia,South Carolina,0.87,0.39,0.79,0.64
Mount Pleasant,South Carolina,0.98,0.59,0.93,0.59
North Charleston,South Carolina,0.84,0.2,0.54,0.29
Sioux Falls,South Dakota,0.93,0.34,0.63,0.32
Chattanooga,Tennessee,0.86,0.26,0.67,0.49
Clarksville,Tennessee,0.93,0.24,0.82,0.24
Knoxville,Tennessee,0.88,0.3,0.66,0.44
Murfreesboro,Tennessee,0.93,0.37,0.74,0.43
Abilene,Texas,0.85,0.23,0.58,0.26
Allen,Texas,0.98,0.52,0.88,0.63
Amarillo,Texas,0.89,0.24,0.47,0.24
Arlington,Texas,0.93,0.32,0.62,0.33
Baytown,Texas,0.86,0.16,0.43,0.16
Beaumont,Texas,0.88,0.22,0.58,0.4
Brownsville,Texas,0.78,0.21,0.47,0.29
Bryan,Texas,0.85,0.28,0.46,0.37
Carrollton,Texas,0.96,0.42,0.65,0.39
College Station,Texas,0.96,0.52,0.91,0.75
Corpus Christi,Texas,0.84,0.21,0.58,0.37
Denton,Texas,0.94,0.39,0.66,0.53
Edinburg,Texas,0.86,0.29,0.57,0.45
Frisco,Texas,0.98,0.59,0.89,0.64
Garland,Texas,0.9,0.25,0.54,0.29
Grand Prairie,Texas,0.89,0.26,0.6,0.27
Irving,Texas,0.91,0.33,0.67,0.51
Killeen,Texas,0.93,0.17,0.76,0.21
Laredo,Texas,0.79,0.2,0.48,0.3
League City,Texas,0.96,0.4,0.84,0.57
Lewisville,Texas,0.94,0.32,0.65,0.4
Longview,Texas,0.88,0.22,0.49,0.25
Lubbock,Texas,0.87,0.29,0.71,0.55
McAllen,Texas,0.85,0.31,0.57,0.41
McKinney,Texas,0.96,0.48,0.75,0.45
Mesquite,Texas,0.88,0.19,0.58,0.27
Midland,Texas,0.88,0.28,0.5,0.21
Mission,Texas,0.84,0.25,0.56,0.39
Missouri City,Texas,0.95,0.41,0.85,0.57
Odessa,Texas,0.84,0.18,0.44,0.33
Pasadena,Texas,0.83,0.17,0.5,0.18
Pearland,Texas,0.95,0.44,0.85,0.61
